time,close,probability,cash,equity,in_position
2025-10-08,257.569091796875,0.3924667153301361,10057.450505683268,10057.450505683268,0
2025-10-09,253.55670166015625,0.2657435922175257,10057.450505683268,10057.450505683268,0
2025-10-10,244.80340576171875,0.19243579190286259,10057.450505683268,10057.450505683268,0
2025-10-13,247.18885803222656,0.14812598428008672,10057.450505683268,10057.450505683268,0
2025-10-14,247.29864501953125,0.14267460737385748,10057.450505683268,10057.450505683268,0
2025-10-15,248.86566162109372,0.15262957138560398,10057.450505683268,10057.450505683268,0
2025-10-16,246.9792633056641,0.13854595800153682,10057.450505683268,10057.450505683268,0
2025-10-17,251.81002807617188,0.32439954190059,10057.450505683268,10057.450505683268,0
2025-10-20,261.7411193847656,0.36097538743514196,10057.450505683268,10057.450505683268,0
2025-10-21,262.27008056640625,0.38795290924849435,10057.450505683268,10057.450505683268,0
2025-10-22,257.9583435058594,0.3091379470409049,10057.450505683268,10057.450505683268,0
2025-10-23,259.0861511230469,0.3346529442656678,10057.450505683268,10057.450505683268,0
2025-10-24,262.3200378417969,0.27276273160412257,10057.450505683268,10057.450505683268,0
2025-10-27,268.2986145019531,0.3929440398138241,10057.450505683268,10057.450505683268,0
2025-10-28,268.4882507324219,0.3927159247494995,10057.450505683268,10057.450505683268,0
2025-10-29,269.1869201660156,0.3619093943813862,10057.450505683268,10057.450505683268,0
2025-10-30,270.8836669921875,0.3765821245778431,10057.450505683268,10057.450505683268,0
2025-10-31,269.85565185546875,0.3079668321633834,10057.450505683268,10057.450505683268,0
2025-11-03,268.53814697265625,0.3631290349879148,10057.450505683268,10057.450505683268,0
2025-11-04,269.5262756347656,0.36574558791723394,10057.450505683268,10057.450505683268,0
2025-11-05,269.6260986328125,0.39193135422531916,10057.450505683268,10057.450505683268,0
2025-11-06,269.2567749023437,0.38877519834955326,10057.450505683268,10057.450505683268,0
2025-11-07,267.9592590332031,0.34691375877131975,10057.450505683268,10057.450505683268,0
2025-11-10,269.1781311035156,0.4482644904834709,10057.450505683268,10057.450505683268,0
2025-11-11,274.99267578125,0.4765068490980882,10057.450505683268,10057.450505683268,0
2025-11-12,273.21435546875,0.41182991737320923,10057.450505683268,10057.450505683268,0
2025-11-13,272.6948547363281,0.3792586820015266,10057.450505683268,10057.450505683268,0
2025-11-14,272.15533447265625,0.34375454686908385,10057.450505683268,10057.450505683268,0
2025-11-17,267.2099609375,0.20681554682749503,10057.450505683268,10057.450505683268,0
2025-11-18,267.19000244140625,0.1775068063204811,10057.450505683268,10057.450505683268,0
2025-11-19,268.3089294433594,0.21847340278257624,10057.450505683268,10057.450505683268,0
2025-11-20,266.0010986328125,0.15036748742676037,10057.450505683268,10057.450505683268,0
2025-11-21,271.2361755371094,0.32134932825807494,10057.450505683268,10057.450505683268,0
2025-11-24,275.6620788574219,0.34111364369276354,10057.450505683268,10057.450505683268,0
2025-11-25,276.7110900878906,0.39588885885347463,10057.450505683268,10057.450505683268,0
2025-11-26,277.29052734375,0.360688869409355,10057.450505683268,10057.450505683268,0
2025-11-28,278.5893249511719,0.35125487296861607,10057.450505683268,10057.450505683268,0
2025-12-01,282.8353576660156,0.3732366454972046,10057.450505683268,10057.450505683268,0
2025-12-02,285.9224548339844,0.4790305346475626,10057.450505683268,10057.450505683268,0
2025-12-03,283.8843688964844,0.3794041511872753,10057.450505683268,10057.450505683268,0
2025-12-04,280.4375915527344,0.2989246449090787,10057.450505683268,10057.450505683268,0
2025-12-05,278.5193786621094,0.2776323281781041,10057.450505683268,10057.450505683268,0
2025-12-08,277.6302185058594,0.24600530576577745,10057.450505683268,10057.450505683268,0
